INSERT_UPDATE Product;code[unique=true];$parentcategories;$catalogVersion;name[lang=en];description[lang=en];dependentProducts(code,$catalogVersion);unit(code);$prices;toolTipText;dependencyMessage[lang=en];thumbnailURL;thumbnailLargeURL;assetID;lineartURL;dynamicRendering;sortOrder[default=0];scene7Value;exportOnly;$approved;defaultSelected;dependentCategories(code,$catalogVersion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;TR2.40;TR2-BackSize;ExemplisCatalog:Staged;40;Task (Midback);;pieces;0 USD;This is a perfect ergonomic back choice for smaller users or shorter-term work. ;;;;;;0;0;;;;TRUE;TR2-Midback-BackStyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;TR2.40E;TR2-BackSize;ExemplisCatalog:Staged;40E;Executive (Highback);;pieces;75 USD;Broad, high-back support offers a greater surface for weight distribution enabling ergonomic support for larger users. ;;;;;;0;1;;;;FALSE;TR2-Highback-BackStyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;TR2Stool.40;TR2Stool-BackSize;ExemplisCatalog:Staged;40;Task (Midback);;pieces;0 USD;This is a perfect ergonomic back choice for smaller users or shorter-term work. ;;;;;;0;0;;;;TRUE;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Wit.2223;Wit-Back-Size;ExemplisCatalog:Staged;2223;Highback with Adjustable Lumbar;;pieces;28 USD;Broad, high-back support offers a greater surface for weight distribution enabling ergonomic support for larger users. ;;;;;;0;1;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Wit.2222;Wit-Back-Size, WitStool-Back-Size;ExemplisCatalog:Staged;2222;Midback with Adjustable Lumbar;;pieces;0 USD;This is a perfect ergonomic back choice for smaller users or shorter-term work. ;;;;;;0;0;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#### Back Style Options;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Amplify.B1;Amplify-Back-Style;ExemplisCatalog:Staged;B1;Mesh;;pieces;0 USD;Breathable mesh creates a cool sit and a translucent look.;;;;;;0;0;;;;;Amplify-Mesh-Back, Amplify-Material-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;AmplifyStool.B1;AmplifyStool-Back-Style;ExemplisCatalog:Staged;B1;Mesh;;pieces;0 USD;Breathable mesh creates a cool sit and a translucent look.;;;;;;0;0;;;;;AmplifyStool-Mesh-Back, AmplifyStool-Material-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Vnt.B1;Focus-Back-Style;ExemplisCatalog:Staged;B1;Mesh;;pieces;40 USD;Breathable mesh creates a cool sit and a translucent look.;;;;;;0;1;;;;TRUE;Focus-Back-Size, Focus-Back-MeshColor, Focus-Back-Lumbar, Focus-Material-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
